DateTime,AddedIPs,RemovedIPs
1512429173,2,0
1512603666,1,0
1512864987,1,2
1512952106,0,1
1513126763,1,2
1513301571,0,1
1513388654,0,4
1513650263,4,5
1513737664,1,4
1513998988,0,5
1514086126,0,2
1514173228,0,2
1514260362,3,0
1514347830,1,1
1514434847,1,0
1514522205,0,1
1514609735,0,7
1514697048,1,1
1514784350,1,1
1514871411,1,0
1514958533,0,3
1515176733,0,6
1515264030,1,1
1515351309,1,1
1515526268,0,1
1515700583,0,1
1515875194,0,1
1515962848,1,0
1516137418,2,0
1516224596,0,2
1516311901,0,2
1516398997,0,2
1516747478,1,0
1516835035,1,0
1516922242,1,2
1517009330,4,2
1517096447,1,0
1517270921,1,0
1517358045,1,2
1517532264,0,2
1517619392,1,0
1517706526,1,0
1517880972,0,1
1518142356,1,1
1518229478,2,2
1518491313,1,0
1518753160,0,1
1519101741,1,0
1519275796,0,1
1519624362,0,3
1519711385,0,2
1519798610,1,0
1519885720,0,2
1520409399,1,0
1520583876,1,1
1520671225,0,1
1520758355,1,0
1520845484,0,2
1520932832,0,1
1521019962,0,1
1521194479,0,1
1521456306,1,0
1521717622,0,2
1522022685,0,1
1522284275,1,0
