DateTime,AddedIPs,RemovedIPs
1514301010,269,263
1514315409,243,221
1514329810,256,232
1514344211,259,228
1514358610,250,228
1514373011,259,231
1514387410,257,238
1514401811,249,243
1514416210,267,216
1514430610,244,260
1514445011,256,261
1514459410,208,246
1514473814,244,222
1514488215,257,260
1514502610,244,241
1514517014,247,290
1514531410,254,274
1514545810,277,249
1514560211,274,244
1514574611,259,237
1514589011,238,245
1514603411,240,251
1514617811,254,220
1514632212,274,251
1514646611,249,252
1514661012,256,258
1514675411,224,238
1514689815,229,294
1514704211,236,269
1514718610,247,256
1514733010,237,249
1514747411,256,231
1514761811,247,256
1514776210,214,292
1514790611,214,226
1514805010,237,279
1514819410,227,261
1514833811,226,227
1514848210,230,241
1514862611,216,233
1514877011,250,253
1514891410,239,237
1514905811,278,258
1514920211,271,237
1514934610,222,223
1514949012,254,215
1514998502,936,823
1515010210,196,148
1515024610,228,235
1515039010,259,233
1515053410,271,275
1515067810,252,270
1515082231,261,231
1515096610,266,251
1515111010,256,246
1515125411,243,272
1515139811,248,273
1515154210,256,264
1515168610,251,239
1515183017,247,235
1515197411,242,253
1515211811,232,259
1515226211,228,254
1515240611,245,242
1515255011,245,256
1515269411,282,248
1515283810,223,251
1515298210,271,294
1515312610,243,236
1515327011,243,237
1515341411,269,258
1515355811,244,261
1515370210,263,217
1515384611,270,243
1515399012,260,262
1515413410,248,243
1515427811,294,276
1515442214,235,242
1515456612,276,246
1515471011,276,253
1515485411,271,263
1515499811,261,217
1515514212,249,265
1515528616,271,273
1515543012,288,256
1515557412,254,277
1515571812,303,285
1515586212,308,245
1515600613,208,185
1515615011,321,366
1515629411,272,229
1515643812,240,288
1515658212,268,237
1515672611,272,217
1515687012,265,297
1515701412,273,258
1515715813,270,255
1515730211,262,340
1515744612,264,285
1515759011,290,239
1515773411,268,267
1515787811,278,275
1515802211,245,252
1515816612,306,309
1515831012,266,257
1515845412,278,274
1515859812,259,281
1515874212,262,239
1515888613,246,259
1515903012,235,304
1515917412,276,276
1515931812,290,265
1515946212,270,278
1515960611,270,273
1515975011,231,242
1515989411,249,285
1516003811,268,271
1516018212,281,233
1516032611,257,268
1516047012,246,230
1516061411,260,243
1516075811,247,327
1516090211,287,268
1516104611,286,278
1516119011,248,261
1516133411,285,253
1516147818,2958,258
