DateTime,AddedIPs,RemovedIPs
1521261032,41,45
1521262832,22,31
1521265234,22,19
1521268232,30,42
1521270034,19,34
1521273631,57,40
1521277234,53,73
1521279635,21,84
1521281435,29,17
1521285634,59,69
1521289232,41,55
1521292234,45,48
1521295832,33,47
1521299438,54,53
1521301232,28,18
1521304849,43,48
1521308448,66,41
1521312052,69,58
1521315644,57,62
1521319848,57,66
1521323441,74,41
1521327035,55,58
1521330032,59,49
1521337232,73,118
1521340834,56,65
1521344432,35,57
1521348036,37,40
1521349832,123,24
1521352835,257,40
1521356434,24,48
1521358835,25,19
1521362438,43,33
1521366042,57,98
1521369037,65,43
1521371435,9,26
1521375033,38,48
1521376835,24,27
1521380433,42,55
1521383434,27,33
1521387039,38,16
1521390634,32,32
1521394243,70,40
1521396051,24,18
1521398455,36,27
1521402049,61,32
1521405656,45,39
1521409234,52,39
1521412859,53,49
1521416445,27,32
1521420056,41,49
1521421844,18,41
1521425436,41,51
1521428432,17,23
1521432032,26,55
1521435634,51,53
1521439231,33,29
1521442832,24,19
1521446434,44,38
1521450032,39,33
1521451834,16,19
1521454231,16,11
1521457232,29,42
1521460834,20,36
1521464432,75,39
1521466234,36,22
1521468632,11,12
1521472234,30,60
1521475831,45,316
1521479433,47,67
1521483030,49,37
1521484833,39,47
1521488432,51,45
1521492032,51,65
1521495631,80,67
1521499233,71,53
1521507031,424,97
1521510035,606,41
1521513635,343,196
1521517838,310,56
1521521434,202,219
1521524438,120,39
1521528034,41,48
1521529838,25,22
1521533436,39,38
1521537038,51,43
1521540636,29,36
1521544238,31,42
1521551435,74,78
1521555045,37,30
1521556835,32,21
1521561037,44,34
1521564637,36,45
1521567645,35,46
1521571241,48,53
1521578434,93,63
1521582038,60,43
1521585635,62,41
1521589238,52,44
1521597036,111,107
1521600638,52,61
1521604234,34,45
1521607837,50,43
1521611435,26,34
1521614437,33,35
1521618034,39,40
1521621758,31,40
1521625235,44,42
1521628837,39,48
1521632434,48,216
1521636036,47,240
1521639632,50,322
1521643234,53,407
1521646833,40,412
1521654031,95,93
1521657633,53,51
1521661231,46,62
1521664833,54,55
1521668431,67,47
1521675631,103,100
1521682830,116,103
1521686432,55,56
1521694230,105,122
1521697232,40,66
1521700831,46,51
1521708030,102,110
1521711632,40,45
1521715230,49,40
1521718832,61,61
1521722431,49,50
1521730233,102,118
1521733233,36,53
1521736830,41,43
1521738632,29,29
1521742230,60,47
1521745833,50,52
1521749430,57,38
1521753033,62,44
1521754830,38,30
1521758432,39,52
1521762032,556,54
1521765634,436,78
1521772832,431,302
1521776435,101,149
1521779434,327,53
1521783035,268,65
1521786635,60,45
1521789035,25,25
1521792637,38,40
1521795635,36,48
1521799835,48,37
1521803441,52,40
1521807035,48,31
1521814236,98,111
1521817838,39,43
1521821435,44,51
1521824437,56,53
1521826834,24,13
1521830439,52,40
1521832234,25,26
1521835838,79,56
1521839436,44,32
1521843638,74,50
1521847236,47,74
1521850237,30,36
1521853836,59,62
1521857437,35,46
1521861035,33,36
1521862838,15,33
1521866435,48,46
1521870038,34,45
1521871835,21,18
1521875437,32,46
1521879035,29,43
1521882637,32,23
1521886235,51,46
1521889838,46,41
1521893435,25,37
1521897036,37,508
1521898832,31,245
1521902435,53,38
1521904232,15,16
1521907833,37,376
1521911430,61,498
1521915032,60,42
1521922830,144,118
1521926432,49,75
1521929430,62,57
1521933032,69,46
1521937233,134,71
1521940830,82,58
1521944431,49,71
1521948030,38,60
1521951033,42,46
1521954631,51,52
1521958234,57,47
1521962432,68,60
1521966029,47,44
1521969632,53,56
1521972632,30,46
1521976232,53,62
1521979830,44,61
1521983432,48,57
1521990630,108,94
1521994232,56,53
1521997830,56,50
1522001432,79,56
1522005672,81,57
1522009230,75,44
1522012232,71,80
1522015830,41,54
1522020032,67,80
1522023631,77,66
1522027232,56,65
1522030831,51,72
1522033833,39,37
1522035630,28,26
1522039233,43,59
1522046430,89,104
1522053630,89,89
1522057233,49,46
1522060832,47,49
1522064434,46,51
1522071631,107,118
1522075232,69,61
1522078831,71,38
1522083033,92,69
1522086631,64,45
1522090232,57,70
1522093230,78,61
1522097434,71,64
1522101030,82,97
1522104033,64,56
1522111230,120,128
1522118430,95,129
1522126230,117,96
1522129232,57,59
1522132830,50,76
1522136433,46,55
1522140031,56,63
1522143633,64,53
1522147231,71,65
1522151433,58,72
1522155031,49,65
1522158633,55,60
1522162231,47,66
1522165233,50,57
1522168830,63,40
1522172433,72,53
1522176633,82,71
1522180230,62,71
1522183833,59,60
1522187431,64,62
1522191033,82,49
1522194631,59,64
1522198232,67,70
1522201830,66,89
1522205433,43,74
1522208431,53,56
1522212033,58,62
1522215630,71,71
1522223431,136,115
1522227034,74,66
1522230630,95,64
1522234233,61,85
1522237831,44,96
1522241433,61,66
1522245030,71,77
1522248633,71,69
1522252231,71,62
1522255833,61,47
1522259430,69,60
1522263033,80,81
1522266631,66,80
1522270232,75,68
1522273230,61,58
1522276832,72,72
1522284629,134,130
1522288233,60,73
1522291830,51,75
1522295432,40,48
1522298429,39,45
1522302033,46,53
1522305629,59,50
1522308032,45,40
1522311631,60,61
1522314631,55,41
1522321830,132,115
1522326033,66,62
1522329630,76,70
1522333232,52,78
1522336830,51,62
1522340432,66,53
1522344031,86,70
1522347633,67,66
1522351231,82,69
1522354833,75,62
1522358431,78,79
1522362033,85,85
1522365630,72,80
1522368634,86,61
1522372832,87,93
1522380031,103,156
1522383032,57,55
1522387233,91,57
1522390830,62,73
1522394433,53,64
1522398030,60,61
1522401633,90,69
1522404630,52,60
1522408833,71,85
