DateTime,AddedIPs,RemovedIPs
1512361260,1,0
1512376621,1,0
1512386203,0,1
1512390281,1,0
1512394118,0,1
1512403736,1,0
1512409474,1,0
1512411417,1,0
1512413468,0,1
1512429166,0,1
1512437101,1,0
1512447636,0,1
1512458187,1,0
1512463980,0,1
1512476197,1,1
1512478097,1,0
1512487959,1,0
1512489860,0,1
1512495879,0,1
1512497798,0,1
1512520360,1,0
1512522278,0,1
1512543375,0,1
1512562607,0,1
1512564508,0,1
1512566453,1,0
1512575325,0,1
1512589034,1,0
1512602921,1,0
1512606816,0,1
1512618559,1,0
1512653380,0,1
1512658351,1,0
1512660254,1,0
1512668776,1,0
1512672519,1,0
1512674421,0,1
1512685003,0,1
1512697014,1,0
1512705172,0,1
1512744720,0,1
1512746664,0,1
1512754366,0,1
1512760358,0,1
1512780506,0,1
1512951425,1,0
1512960972,1,0
1513038503,0,1
1513045357,0,1
1513079921,1,0
1513154916,1,0
1513166473,0,1
1513238799,0,1
1513337568,1,0
1513375285,1,0
1513424692,0,1
1513458984,0,1
1513682409,1,0
1513698304,1,0
1513769109,0,1
1513782092,0,1
1513861309,1,0
1513946202,0,1
1514355390,1,0
1514441538,0,1
1514448753,1,0
1514534219,0,1
1514666907,1,0
1514752353,0,1
1514890289,1,0
1514974881,0,1
1515003914,1,0
1515135900,1,1
1515178592,0,1
1515212913,1,0
1515298023,0,1
1515388751,1,0
1515413877,1,0
1515476429,0,1
1515497624,0,1
1515535469,1,0
1515561648,1,0
1515594789,1,0
1515596696,1,0
1515621934,0,1
1515648227,0,1
1515656182,2,0
1515666332,1,0
1515681704,0,1
1515683783,1,0
1515709976,0,1
1515716729,1,0
1515730780,1,0
1515738978,1,0
1515742836,0,2
1515752428,0,1
1515769961,0,1
1515802887,0,1
1515817012,0,1
1515824918,0,1
1515847426,1,0
1515851372,1,0
1515872221,1,0
1515934124,0,1
1515938192,0,1
1515956535,0,1
1516128489,1,0
1516213469,0,1
1516433847,1,0
1516525871,0,1
1516724184,1,0
1516766171,1,0
1516770099,1,0
1516806130,1,0
1516809903,0,1
1516852610,0,1
1516856479,0,1
1516889111,0,1
1516970430,1,0
1517055249,0,1
1517167231,1,0
1517252680,0,1
1517772999,1,0
1517858650,0,1
1518231865,1,0
1518317800,0,1
1518793487,1,0
1518877965,0,1
1519236294,1,0
1519321469,0,1
1519502474,1,0
1519586949,0,1
1519930121,1,0
1520015310,0,1
1520029259,1,0
1520115162,1,1
1520199630,0,1
1520656942,1,0
1520742749,0,1
1521672264,1,0
1521758138,0,1
1522081700,1,0
1522166210,0,1
1522183961,1,0
1522185871,3,0
1522187778,4,0
1522192676,1,0
1522194515,2,0
1522198585,2,0
1522201725,3,0
1522203623,1,0
1522205793,1,0
1522207803,2,0
1522209906,1,0
1522215485,4,0
1522219702,1,0
1522226598,2,0
1522238696,3,0
1522241086,1,0
1522244675,5,0
1522247818,0,6
1522276481,0,5
1522278327,0,3
1522282515,0,3
1522286687,0,2
1522288591,0,3
1522292432,0,2
1522296286,0,3
1522300107,0,1
1522303953,0,4
1522311626,0,1
1522315471,0,3
1522321172,0,1
